web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615854092-1325","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 29, 2020","1,470.39","1,469.33"
"1615854092-1379","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 14, 2020","1,490.31","1,520.58"
"1615854092-1271","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 15, 2020","1,764.42","1,767.77"
"1615854092-1471","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 03, 2020","1,399.42","1,341.39"
"1615854092-1371","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 24, 2020","1,498.93","1,511.87"
"1615854092-1488","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 06, 2020","1,450.33","1,476.23"
"1615854092-1340","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 08, 2020","1,533.51","1,532.39"
"1615854092-1355","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 17, 2020","1,514.67","1,517.98"
"1615854092-1499","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 22, 2020","1,491.00","1,485.95"
"1615854092-1364","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 04, 2020","1,476.57","1,464.97"
"1615854092-1348","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 26, 2020","1,608.00","1,652.38"
"1615854092-1381","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 10, 2020","1,506.15","1,541.74"
